TITLE,sample 2
DATA TYPE,ULTRAVIOLET SPECTRUM
ORIGIN,JASCO
OWNER,
DATE,25/11/14
TIME,15:19:07
SPECTROMETER/DATA SYSTEM,
LOCALE,1033
RESOLUTION,
DELTAX,-0.1
XUNITS,NANOMETERS
YUNITS,TRANSMITTANCE
FIRSTX, 1400.0000
LASTX,  300.0000
NPOINTS,   11001
FIRSTY,     0.01558
MAXY,   123.49834
MINY,    -0.02685
XYDATA
1390.2000,0.0214348
1390.1000,0.0264648
1390.0000,0.0247881
1389.9000,0.0260411
1389.8000,0.0241107
1389.7000,0.0221586
1389.6000,0.0254781
1389.5000,0.0206168
1389.4000,0.0260624
1389.3000,0.0311558
1389.2000,0.0300417
1389.1000,0.0288193
1389.0000,0.0345219
1388.9000,0.033193
1388.8000,0.0328874
1388.7000,0.0273606
1388.6000,0.027752
1388.5000,0.0314811
1388.4000,0.0343959
1388.3000,0.0326744
1388.2000,0.0353664
1388.1000,0.0345878
1388.0000,0.041292
1387.9000,0.037509
1387.8000,0.039053
1387.7000,0.0453763
1387.6000,0.0467014
1387.5000,0.0512271
1387.4000,0.0484804
1387.3000,0.0449491
1387.2000,0.0445207
1387.1000,0.0468775
1387.0000,0.0434743
1386.9000,0.0505107
1386.8000,0.0511743
1386.7000,0.05373
1386.6000,0.0538736
1386.5000,0.053168
1386.4000,0.0535852
1386.3000,0.0614078
1386.2000,0.0603104
1386.1000,0.0578216
1386.0000,0.0554582
1385.9000,0.0535404
1385.8000,0.0545507
1385.7000,0.0594495
1385.6000,0.0665879
1385.5000,0.0746256
1385.4000,0.0886694
1385.3000,0.0889184
1385.2000,0.0875216
1385.1000,0.0927803
1385.0000,0.0961965
1384.9000,0.0985117
1384.8000,0.0953152
1384.7000,0.0984649
1384.6000,0.0998458
1384.5000,0.104665
1384.4000,0.10843
1384.3000,0.105212
1384.2000,0.107429
1384.1000,0.11686
1384.0000,0.112971
1383.9000,0.124624
1383.8000,0.136024
1383.7000,0.135642
1383.6000,0.150907
1383.5000,0.155752
1383.4000,0.157609
1383.3000,0.16305
1383.2000,0.165309
1383.1000,0.172343
1383.0000,0.174955
1382.9000,0.17521
1382.8000,0.185103
1382.7000,0.200781
1382.6000,0.203118
1382.5000,0.205246
1382.4000,0.208524
1382.3000,0.214221
1382.2000,0.218912
1382.1000,0.223892
1382.0000,0.227906
1381.9000,0.226271
1381.8000,0.231733
1381.7000,0.237928
1381.6000,0.245371
1381.5000,0.25285
1381.4000,0.26163
1381.3000,0.268664
1381.2000,0.281872
1381.1000,0.293435
1381.0000,0.304077
1380.9000,0.305989
1380.8000,0.317106
1380.7000,0.323621
1380.6000,0.327052
1380.5000,0.345488
1380.4000,0.345793
1380.3000,0.35378
1380.2000,0.367211
1380.1000,0.38081
1380.0000,0.386859
1379.9000,0.39223
1379.8000,0.403987
1379.7000,0.412318
1379.6000,0.420941
1379.5000,0.421063
1379.4000,0.43366
1379.3000,0.445179
1379.2000,0.451078
1379.1000,0.459271
1379.0000,0.466403
1378.9000,0.477166
1378.8000,0.486502
1378.7000,0.506476
1378.6000,0.515178
1378.5000,0.522759
1378.4000,0.53351
1378.3000,0.533963
1378.2000,0.538318
1378.1000,0.550814
1378.0000,0.561281
1377.9000,0.572221
1377.8000,0.583249
1377.7000,0.600128
1377.6000,0.611968
1377.5000,0.620602
1377.4000,0.633289
