TITLE,sample3a
DATA TYPE,ULTRAVIOLET SPECTRUM
ORIGIN,JASCO
OWNER,
DATE,25/11/14
TIME,11:03:04
SPECTROMETER/DATA SYSTEM,
LOCALE,1033
RESOLUTION,
DELTAX,-0.1
XUNITS,NANOMETERS
YUNITS,TRANSMITTANCE
FIRSTX, 1400.0000
LASTX,  300.0000
NPOINTS,   11001
FIRSTY,     0.03998
MAXY,   125.24290
MINY,    -0.01736
XYDATA
1390.1000,0.0130257
1390.0000,0.0213965
1389.9000,0.0230194
1389.8000,0.0176717
1389.7000,0.0247053
1389.6000,0.0272803
1389.5000,0.0295684
1389.4000,0.0356108
1389.3000,0.037326
1389.2000,0.0402635
1389.1000,0.0421271
1389.0000,0.0410813
1388.9000,0.040433
1388.8000,0.0464273
1388.7000,0.0503956
1388.6000,0.0527448
1388.5000,0.0552264
1388.4000,0.0628245
1388.3000,0.0714346
1388.2000,0.0771904
1388.1000,0.0791261
1388.0000,0.0758611
1387.9000,0.0733649
1387.8000,0.0815503
1387.7000,0.0846396
1387.6000,0.0931877
1387.5000,0.0918708
1387.4000,0.0867887
1387.3000,0.0888899
1387.2000,0.0936352
1387.1000,0.0978977
1387.0000,0.0967347
1386.9000,0.0948186
1386.8000,0.092585
1386.7000,0.091945
1386.6000,0.091516
1386.5000,0.0862758
1386.4000,0.0860034
1386.3000,0.092679
1386.2000,0.0957945
1386.1000,0.0970659
1386.0000,0.0993734
1385.9000,0.104365
1385.8000,0.107305
1385.7000,0.112659
1385.6000,0.113166
1385.5000,0.116634
1385.4000,0.121755
1385.3000,0.123614
1385.2000,0.121517
1385.1000,0.122446
1385.0000,0.127996
1384.9000,0.124299
1384.8000,0.132352
1384.7000,0.131964
1384.6000,0.123139
1384.5000,0.130128
1384.4000,0.129867
1384.3000,0.143529
1384.2000,0.150263
1384.1000,0.159976
1384.0000,0.164272
1383.9000,0.167092
1383.8000,0.17597
1383.7000,0.18644
1383.6000,0.194464
1383.5000,0.209325
1383.4000,0.223164
1383.3000,0.240046
1383.2000,0.239887
1383.1000,0.24806
1383.0000,0.255927
1382.9000,0.263829
1382.8000,0.264025
1382.7000,0.277908
1382.6000,0.292895
1382.5000,0.302607
1382.4000,0.314948
1382.3000,0.32301
1382.2000,0.331108
1382.1000,0.344573
1382.0000,0.355838
1381.9000,0.360325
1381.8000,0.371862
1381.7000,0.384653
1381.6000,0.395856
1381.5000,0.411064
1381.4000,0.429908
1381.3000,0.436444
1381.2000,0.442176
1381.1000,0.446175
1381.0000,0.451907
