XYDATA,sample11.jws
365.7000,118.275
365.8000,118.279
365.9000,118.282
366.0000,118.3
366.1000,118.302
366.2000,118.315
366.3000,118.33
366.4000,118.338
366.5000,118.345
366.6000,118.35
366.7000,118.337
366.8000,118.338
366.9000,118.35
367.0000,118.359
367.1000,118.348
367.2000,118.369
367.3000,118.379
367.4000,118.384
367.5000,118.414
367.6000,118.396
367.7000,118.412
367.8000,118.416
367.9000,118.417
368.0000,118.418
368.1000,118.422
368.2000,118.428
368.3000,118.423
368.4000,118.445
368.5000,118.453
368.6000,118.454
368.7000,118.457
368.8000,118.465
368.9000,118.489
369.0000,118.499
369.1000,118.52
369.2000,118.529
369.3000,118.547
369.4000,118.556
369.5000,118.557
369.6000,118.572
369.7000,118.586
369.8000,118.604
369.9000,118.612
370.0000,118.615
370.1000,118.768
370.2000,118.768
370.3000,118.763
370.4000,118.774
370.5000,118.775
370.6000,118.787
370.7000,118.794
370.8000,118.811
370.9000,118.816
371.0000,118.822
371.1000,118.84
371.2000,118.852
371.3000,118.881
371.4000,118.899
371.5000,118.913
371.6000,118.92
371.7000,118.934
371.8000,118.951
371.9000,118.969
372.0000,118.989
372.1000,118.995
372.2000,119.014
372.3000,119.036
372.4000,119.046
372.5000,119.066
372.6000,119.089
372.7000,119.088
372.8000,119.11
372.9000,119.113
373.0000,119.131
373.1000,119.151
373.2000,119.166
373.3000,119.159
373.4000,119.19
373.5000,119.212
373.6000,119.233
373.7000,119.244
373.8000,119.252
373.9000,119.272
374.0000,119.28
374.1000,119.304
374.2000,119.335
374.3000,119.374
374.4000,119.385
374.5000,119.378
374.6000,119.397
374.7000,119.423
374.8000,119.439
374.9000,119.455
375.0000,119.458
375.1000,119.474
375.2000,119.487
375.3000,119.51
375.4000,119.528
375.5000,119.541
375.6000,119.558
375.7000,119.57
375.8000,119.584
375.9000,119.603
376.0000,119.605
376.1000,119.622
376.2000,119.636
376.3000,119.643
376.4000,119.667
376.5000,119.707
376.6000,119.718
376.7000,119.738
376.8000,119.748
376.9000,119.781
377.0000,119.804
377.1000,119.821
377.2000,119.842
377.3000,119.864
377.4000,119.873
377.5000,119.882
377.6000,119.909
377.7000,119.941
377.8000,119.953
377.9000,119.965
378.0000,119.987
378.1000,119.999
378.2000,120.019
378.3000,120.024
378.4000,120.029
378.5000,120.051
378.6000,120.071
378.7000,120.087
378.8000,120.1
378.9000,120.12
379.0000,120.133
379.1000,120.16
379.2000,120.189
379.3000,120.209
379.4000,120.222
379.5000,120.242
379.6000,120.252
379.7000,120.259
379.8000,120.266
379.9000,120.275
380.0000,120.29
380.1000,120.293
380.2000,120.299
380.3000,120.308
380.4000,120.314
380.5000,120.33
380.6000,120.34
380.7000,120.346
380.8000,120.351
380.9000,120.359
381.0000,120.376
381.1000,120.374
381.2000,120.379
381.3000,120.388
381.4000,120.404
381.5000,120.417
381.6000,120.427
381.7000,120.431
381.8000,120.424
381.9000,120.431
382.0000,120.446
382.1000,120.45
382.2000,120.463
382.3000,120.467
382.4000,120.47
382.5000,120.484
382.6000,120.499
382.7000,120.507
382.8000,120.511
382.9000,120.517
383.0000,120.526
383.1000,120.529
383.2000,120.522
383.3000,120.525
383.4000,120.544
383.5000,120.559
383.6000,120.564
383.7000,120.569
383.8000,120.585
383.9000,120.593
384.0000,120.605
384.1000,120.622
384.2000,120.628
384.3000,120.641
384.4000,120.659
384.5000,120.664
384.6000,120.665
384.7000,120.678
384.8000,120.694
384.9000,120.716
385.0000,120.719
385.1000,120.725
385.2000,120.724
385.3000,120.731
385.4000,120.738
385.5000,120.743
385.6000,120.752
385.7000,120.759
385.8000,120.76
385.9000,120.771
386.0000,120.788
386.1000,120.799
386.2000,120.812
386.3000,120.826
386.4000,120.84
386.5000,120.863
386.6000,120.859
386.7000,120.865
386.8000,120.884
386.9000,120.894
387.0000,120.898
387.1000,120.9
387.2000,120.912
387.3000,120.907
387.4000,120.913
387.5000,120.926
387.6000,120.927
387.7000,120.946
387.8000,120.961
387.9000,120.971
388.0000,120.982
388.1000,120.984
388.2000,121.004
388.3000,121.017
388.4000,121.036
388.5000,121.048
388.6000,121.054
388.7000,121.062
388.8000,121.072
388.9000,121.077
389.0000,121.09
389.1000,121.089
389.2000,121.091
389.3000,121.104
389.4000,121.117
389.5000,121.126
389.6000,121.132
389.7000,121.136
389.8000,121.145
389.9000,121.151
390.0000,121.148
390.1000,121.149
390.2000,121.158
390.3000,121.162
390.4000,121.159
390.5000,121.17
390.6000,121.185
390.7000,121.193
390.8000,121.207
390.9000,121.207
391.0000,121.217
391.1000,121.221
391.2000,121.227
391.3000,121.238
391.4000,121.24
391.5000,121.245
391.6000,121.246
391.7000,121.258
391.8000,121.266
391.9000,121.281
392.0000,121.294
392.1000,121.303
392.2000,121.304
392.3000,121.315
392.4000,121.333
392.5000,121.337
392.6000,121.338
392.7000,121.354
392.8000,121.368
392.9000,121.375
393.0000,121.378
393.1000,121.393
393.2000,121.415
393.3000,121.439
393.4000,121.439
393.5000,121.465
393.6000,121.485
393.7000,121.498
393.8000,121.501
393.9000,121.509
394.0000,121.504
394.1000,121.509
394.2000,121.493
394.3000,121.488
394.4000,121.478
394.5000,121.478
394.6000,121.481
394.7000,121.487
394.8000,121.501
394.9000,121.511
395.0000,121.523
395.1000,121.531
395.2000,121.531
395.3000,121.535
395.4000,121.55
395.5000,121.567
395.6000,121.572
395.7000,121.571
395.8000,121.579
395.9000,121.576
396.0000,121.591
396.1000,121.604
396.2000,121.619
396.3000,121.619
396.4000,121.625
396.5000,121.619
396.6000,121.632
396.7000,121.634
396.8000,121.635
396.9000,121.642
397.0000,121.655
397.1000,121.669
397.2000,121.689
397.3000,121.699
397.4000,121.73
397.5000,121.752
397.6000,121.78
397.7000,121.798
397.8000,121.823
397.9000,121.828
398.0000,121.842
398.1000,121.846
398.2000,121.865
398.3000,121.87
398.4000,121.887
398.5000,121.898
398.6000,121.907
398.7000,121.908
398.8000,121.915
398.9000,121.926
399.0000,121.943
399.1000,121.957
399.2000,121.958
399.3000,121.964
399.4000,121.975
399.5000,121.991
399.6000,121.999
399.7000,122.004
399.8000,122.01
399.9000,122.016
400.0000,122.024
400.1000,122.034
400.2000,122.046
400.3000,122.045
400.4000,122.063
400.5000,122.082
400.6000,122.092
400.7000,122.103
400.8000,122.104
400.9000,122.101
401.0000,122.1
401.1000,122.112
401.2000,122.114
401.3000,122.128
401.4000,122.128
401.5000,122.132
401.6000,122.144
401.7000,122.152
401.8000,122.16
401.9000,122.172
402.0000,122.184
402.1000,122.206
